Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
6559000.0,3.0,2.0,66.0,99.0,Region III
9003000.0,5.0,3.0,100.0,141.0,Region III
6347000.0,3.0,2.0,66.0,96.0,Region III
35000000.0,5.0,5.0,380.0,350.0,NCR
4904000.0,2.0,1.0,46.0,60.0,Region III
5282000.0,2.0,1.0,46.0,63.0,Region III
4281000.0,2.0,1.0,46.0,60.0,Region III
4364000.0,2.0,1.0,36.0,63.0,Region III
4393000.0,2.0,1.0,40.0,63.0,Region III
2450200.0,2.0,1.0,40.32,50.4,Region XI
11000000.0,3.0,3.0,442.0,283.0,Region VII
14700000.0,4.0,3.0,255.0,187.0,Region IV-A
4540000.0,2.0,1.0,36.0,98.0,Region III
4062500.0,2.0,2.0,48.26,50.0,Region I
5234791.0,3.0,2.0,75.0,80.0,Region IV-A
2530000.0,2.0,2.0,48.0,45.5,Region III
2149700.0,1.0,1.0,27.21,69.0,Region IV-A
4062500.0,2.0,2.0,48.26,50.0,Region I
14986000.0,5.0,3.0,166.0,154.0,Region IV-A
2224500.0,2.0,1.0,50.0,65.0,Region III
8897000.0,4.0,3.0,143.0,80.0,NCR
12099000.0,3.0,2.0,100.0,200.0,NCR
3340000.0,3.0,2.0,107.6,100.0,Region III
35000000.0,4.0,6.0,330.0,280.0,NCR
18771000.0,3.0,2.0,100.0,200.0,NCR
9683000.0,5.0,3.0,100.0,148.0,Region III
15450000.0,4.0,3.0,150.0,200.0,NCR
7408000.0,2.0,1.0,36.0,205.0,Region III
8500000.0,3.0,3.0,74.26,80.0,Region XI
30000000.0,3.0,3.0,337.0,312.0,NCR
8229000.0,4.0,3.0,85.0,121.0,Region III
1496900.0,1.0,1.0,27.21,60.0,Region IV-A
9841000.0,5.0,3.0,150.0,150.0,Region IV-A
1675000.0,1.0,1.0,44.0,40.0,Region III
17890000.0,4.0,3.0,246.0,121.0,Region IV-A
18287829.0,3.0,3.0,176.0,79.0,NCR
5183808.0,3.0,2.0,75.26,80.0,Region III
6249000.0,3.0,2.0,66.0,118.0,Region III
18000000.0,4.0,3.0,382.0,192.0,NCR
5442000.0,2.0,2.0,53.0,96.0,Region I
6346000.0,3.0,2.0,66.0,104.0,Region III
7367000.0,3.0,2.0,103.0,132.0,Region IV-A
6311000.0,5.0,3.0,107.0,141.0,Region III
5706000.0,3.0,2.0,66.0,99.0,Region III
6650000.0,3.0,2.0,84.0,120.0,Region IV-A
3984000.0,2.0,1.0,46.0,74.0,Region III
110000000.0,12.0,12.0,1200.0,1000.0,NCR
19500000.0,3.0,3.0,183.0,110.0,NCR
18000000.0,6.0,4.0,244.0,158.0,Region IV-A
10900000.0,5.0,3.0,180.0,120.0,Region IV-A
7201000.0,4.0,3.0,83.0,110.0,Region III
4000000.0,3.0,2.0,60.0,247.0,Region I
6728000.0,3.0,2.0,66.0,99.0,Region I
8116000.0,4.0,3.0,83.0,121.0,Region I
2688000.0,2.0,1.0,50.0,60.0,Region IV-A
5282600.0,3.0,2.0,80.0,92.0,Region IV-A
16884800.0,5.0,3.0,195.0,240.0,NCR
11576000.0,5.0,3.0,166.0,154.0,Region I
10793502.0,5.0,3.0,166.0,143.0,Region VII
3900000.0,2.0,1.0,40.0,66.0,Region III
6728000.0,3.0,2.0,66.0,99.0,Region I
3957188.0,2.0,2.0,75.0,135.0,Region III
5295000.0,3.0,1.0,102.0,63.0,Region III
2250000.0,2.0,1.0,56.0,54.0,Region I
6079000.0,3.0,2.0,66.0,121.0,Region I
8271000.0,3.0,2.0,66.0,142.0,Region I
8158000.0,3.0,2.0,66.0,117.0,Region I
7474000.0,3.0,2.0,66.0,121.0,Region I
9431000.0,4.0,3.0,83.0,157.0,Region I
6928000.0,4.0,3.0,85.0,110.0,Region I
10653000.0,5.0,3.0,142.0,154.0,Region I
9987000.0,5.0,3.0,142.0,132.0,Region I
7755000.0,5.0,3.0,100.0,145.0,Region I
11576000.0,5.0,3.0,166.0,154.0,Region I
10022000.0,5.0,3.0,142.0,133.0,Region I
1740000.0,1.0,1.0,29.16,70.0,Region IV-A
5465000.0,3.0,2.0,66.0,89.0,Region I
7685000.0,3.0,2.0,66.0,125.0,Region I
6796000.0,3.0,2.0,66.0,101.0,Region I
6762000.0,3.0,2.0,66.0,100.0,Region I
6007000.0,3.0,2.0,66.0,100.0,Region I
10017000.0,4.0,3.0,83.0,174.0,Region I
9671000.0,4.0,3.0,85.0,246.0,Region I
8259000.0,4.0,3.0,85.0,110.0,Region I
7820000.0,4.0,3.0,85.0,99.0,Region I
1600000.0,2.0,1.0,44.0,36.0,Region IV-A
12160000.0,5.0,3.0,166.0,168.0,Region I
6721000.0,4.0,3.0,85.0,121.0,Region I
9948000.0,4.0,3.0,83.0,172.0,Region I
8914000.0,4.0,3.0,83.0,142.0,Region I
8500000.0,4.0,3.0,83.0,130.0,Region I
